OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
1015122,30b6117a,08/03/2015 09:28:00 PM,Monday,Aug,3,2015,21,8,4,2015,GRAND LARCENY,FELONY,,106,QUEENS,N.Y. STATE POLICE,1031898,186190,"(40.677605279, -73.82821878)"
1015124,27146aae,08/03/2015 09:50:00 PM,Monday,Aug,3,2015,21,8,4,2015,GRAND LARCENY,FELONY,A,113,QUEENS,PORT AUTHORITY,1046315,187088,"(40.679980738, -73.7762339069999)"
1015126,8cf5e9f8,08/03/2015 10:00:00 PM,Monday,Aug,3,2015,22,8,13,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,110,QUEENS,N.Y. POLICE DEPT,1014538,209721,"(40.7422686690001, -73.8906998799999)"
1015127,c7b3bab1,03/05/2015 05:50:00 PM,Thursday,Mar,5,2015,17,3,5,2015,GRAND LARCENY,FELONY,M,113,QUEENS,N.Y. POLICE DEPT,1043705,191925,"(40.693275074, -73.785601212)"
1015137,3675cb5e,03/05/2015 07:00:00 PM,Thursday,Mar,5,2015,19,3,5,2015,FELONY ASSAULT,FELONY,K,105,QUEENS,N.Y. POLICE DEPT,1057302,207832,"(40.7368340080001, -73.7363968239999)"
1015138,7713a66b,03/05/2015 07:00:00 PM,Thursday,Mar,5,2015,19,3,6,2015,FELONY ASSAULT,FELONY,I,115,QUEENS,N.Y. POLICE DEPT,1024702,213677,"(40.753086232, -73.853996895)"
1015232,93e94fb0,01/11/2015 11:05:00 PM,Sunday,Jan,11,2015,23,1,12,2015,BURGLARY,FELONY,K,105,QUEENS,N.Y. POLICE DEPT,1055988,203247,"(40.7242601140001, -73.741187184)"
1015235,4410ab49,01/11/2015 11:30:00 PM,Sunday,Jan,11,2015,23,1,12,2015,ROBBERY,FELONY,D,103,QUEENS,N.Y. POLICE DEPT,1047355,199242,"(40.713333183, -73.772370466)"
1015240,eab8d015,01/27/2015 12:00:00 AM,Tuesday,Jan,27,2015,0,1,27,2015,FELONY ASSAULT,FELONY,D,109,QUEENS,N.Y. POLICE DEPT,1034430,213355,"(40.7521525710001, -73.8188878409999)"
1015244,9088f839,01/27/2015 12:40:00 AM,Tuesday,Jan,27,2015,0,1,27,2015,BURGLARY,FELONY,E,113,QUEENS,N.Y. POLICE DEPT,1052791,187298,"(40.680509365, -73.752883487)"
