OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
953143,45cecb80,09/05/2015 03:20:00 AM,Saturday,Sep,5,2015,3,9,6,2015,BURGLARY,FELONY,F,121,STATEN ISLAND,N.Y. POLICE DEPT,939203,160311,"(40.606586699, -74.162234094)"
953214,460b93ac,01/15/2015 10:02:00 AM,Thursday,Jan,15,2015,10,1,15,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,N,120,STATEN ISLAND,N.Y. POLICE DEPT,950233,162945,"(40.6138656890001, -74.122523885)"
953219,f0478c17,01/15/2015 10:25:00 AM,Thursday,Jan,15,2015,10,1,15,2015,ROBBERY,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,944067,171733,"(40.6379610590001, -74.1447848669999)"
953480,d3a28477,01/15/2015 12:00:00 PM,Thursday,Jan,15,2015,12,3,15,2015,GRAND LARCENY,FELONY,G,123,STATEN ISLAND,N.Y. POLICE DEPT,932763,144714,"(40.563741044, -74.1853082709999)"
953481,9b218f12,01/15/2015 12:00:00 PM,Thursday,Jan,15,2015,12,3,28,2015,GRAND LARCENY,FELONY,G,121,STATEN ISLAND,N.Y. POLICE DEPT,949607,159814,"(40.6052693180001, -74.124762547)"
953482,90913246,01/15/2015 12:00:00 PM,Thursday,Jan,15,2015,12,1,22,2015,GRAND LARCENY,FELONY,H,120,STATEN ISLAND,N.Y. POLICE DEPT,959899,170039,"(40.633369067, -74.087734502)"
953671,c2dd763d,09/05/2015 06:00:00 AM,Saturday,Sep,5,2015,6,9,5,2015,BURGLARY,FELONY,G,120,STATEN ISLAND,N.Y. POLICE DEPT,961563,172704,"(40.640688341, -74.08174832)"
954267,f4836968,01/15/2015 03:27:00 PM,Thursday,Jan,15,2015,15,1,15,2015,ROBBERY,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,946272,169949,"(40.6330740920001, -74.13683)"
954444,8faf8a09,09/05/2015 01:00:00 PM,Saturday,Sep,5,2015,13,10,30,2015,GRAND LARCENY,FELONY,M,122,STATEN ISLAND,N.Y. POLICE DEPT,958323,160261,"(40.6065260300001, -74.09337504)"
954458,9c51579a,09/05/2015 02:00:00 PM,Saturday,Sep,5,2015,14,10,5,2015,GRAND LARCENY,FELONY,C,122,STATEN ISLAND,N.Y. POLICE DEPT,954930,145836,"(40.5669217220001, -74.105532005)"
954724,8800a99,09/05/2015 03:10:00 PM,Saturday,Sep,5,2015,15,9,11,2015,GRAND LARCENY,FELONY,F,121,STATEN ISLAND,N.Y. POLICE DEPT,938101,153589,"(40.5881305250001, -74.166156916)"
955237,65abd288,09/05/2015 04:45:00 PM,Saturday,Sep,5,2015,16,9,5,2015,FELONY ASSAULT,FELONY,A,121,STATEN ISLAND,N.Y. POLICE DEPT,935629,167480,"(40.626245194, -74.175157121)"
955325,ddcd51b,01/15/2015 08:00:00 PM,Thursday,Jan,15,2015,20,1,15,2015,GRAND LARCENY,FELONY,A,122,STATEN ISLAND,N.Y. POLICE DEPT,937063,143589,"(40.560677067, -74.1698243339999)"
955496,8e921825,09/05/2015 06:00:00 PM,Saturday,Sep,5,2015,18,9,5,2015,FELONY ASSAULT,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,946194,171636,"(40.637704209, -74.1371205359999)"
955578,4ec92f6f,01/15/2015 08:30:00 PM,Thursday,Jan,15,2015,20,2,26,2015,GRAND LARCENY,FELONY,M,120,STATEN ISLAND,N.Y. POLICE DEPT,951126,170054,"(40.6333817760001, -74.1193423669999)"
955837,80ef04ac,01/15/2015 09:55:00 PM,Thursday,Jan,15,2015,21,1,15,2015,FELONY ASSAULT,FELONY,A,121,STATEN ISLAND,N.Y. HOUSING POLICE,938876,169548,"(40.631938635, -74.1634738339999)"
956019,b81d255d,09/05/2015 08:50:00 PM,Saturday,Sep,5,2015,20,9,5,2015,ROBBERY,FELONY,J,120,STATEN ISLAND,N.Y. POLICE DEPT,951500,172672,"(40.6405690130001, -74.118007609)"
956101,bd8f2d1c,01/15/2015 11:10:00 PM,Thursday,Jan,15,2015,23,1,16,2015,ROBBERY,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,946913,171156,"(40.636389772, -74.134527265)"
956142,cfb97f90,01/09/2015 01:55:00 AM,Friday,Jan,9,2015,1,1,9,2015,FELONY ASSAULT,FELONY,H,120,STATEN ISLAND,N.Y. POLICE DEPT,957758,173578,"(40.643076718, -74.095462099)"
956291,a90a10e,09/05/2015 11:30:00 PM,Saturday,Sep,5,2015,23,9,10,2015,FELONY ASSAULT,FELONY,G,123,STATEN ISLAND,N.Y. POLICE DEPT,935099,136277,"(40.5405963870001, -74.176839496)"
956416,50560f47,01/09/2015 07:42:00 AM,Friday,Jan,9,2015,7,1,9,2015,FELONY ASSAULT,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,940363,169614,"(40.632127283, -74.158116945)"
956554,1167882a,09/07/2015 12:30:00 AM,Monday,Sep,7,2015,0,9,8,2015,GRAND LARCENY,FELONY,G,123,STATEN ISLAND,N.Y. POLICE DEPT,932792,144132,"(40.562143737, -74.1851994689999)"
956632,e7162ac9,03/12/2015 08:00:00 AM,Thursday,Mar,12,2015,8,3,16,2015,BURGLARY,FELONY,E,123,STATEN ISLAND,N.Y. POLICE DEPT,930018,136631,"(40.541538438, -74.1951229649999)"
956657,2f703fba,01/09/2015 08:00:00 AM,Friday,Jan,9,2015,8,1,12,2015,GRAND LARCENY,FELONY,E,120,STATEN ISLAND,N.Y. POLICE DEPT,962183,173351,"(40.6424657840001, -74.079516424)"
956802,47bdef97,09/07/2015 01:00:00 AM,Monday,Sep,7,2015,1,11,11,2015,GRAND LARCENY,FELONY,F,122,STATEN ISLAND,N.Y. POLICE DEPT,957953,154274,"(40.5900918410001, -74.094684252)"
956807,d34284,09/07/2015 01:20:00 AM,Monday,Sep,7,2015,1,9,7,2015,RAPE,FELONY,N,120,STATEN ISLAND,N.Y. POLICE DEPT,962748,174174,"(40.644726131, -74.0774831589999)"
956894,8958ed02,03/12/2015 09:31:00 AM,Thursday,Mar,12,2015,9,3,12,2015,ROBBERY,FELONY,B,120,STATEN ISLAND,N.Y. POLICE DEPT,962040,164642,"(40.618561066, -74.08000304)"
957075,6e304cbc,09/07/2015 03:00:00 AM,Monday,Sep,7,2015,3,9,15,2015,GRAND LARCENY,FELONY,H,120,STATEN ISLAND,N.Y. POLICE DEPT,960272,171100,"(40.6362823040001, -74.086394409)"
957147,374a2f90,03/12/2015 10:41:00 AM,Thursday,Mar,12,2015,10,3,12,2015,GRAND LARCENY,FELONY,H,122,STATEN ISLAND,N.Y. POLICE DEPT,964930,156795,"(40.597029434, -74.0695706619999)"
957407,a0d5c4a8,03/12/2015 12:15:00 PM,Thursday,Mar,12,2015,12,3,12,2015,GRAND LARCENY,FELONY,F,121,STATEN ISLAND,N.Y. POLICE DEPT,941703,161146,"(40.608890956, -74.153235851)"
957460,85b3b08f,01/09/2015 02:25:00 PM,Friday,Jan,9,2015,14,1,9,2015,FELONY ASSAULT,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,946311,171308,"(40.6368044210001, -74.1366971309999)"
957461,4d533fff,01/09/2015 02:30:00 PM,Friday,Jan,9,2015,14,1,9,2015,ROBBERY,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,947337,171202,"(40.6365178090001, -74.13299984)"
957590,f553e444,09/07/2015 04:30:00 AM,Monday,Sep,7,2015,4,9,7,2015,GRAND LARCENY,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,963393,167283,"(40.6258133470001, -74.075137625)"
957594,f65def2d,09/07/2015 04:55:00 AM,Monday,Sep,7,2015,4,9,8,2015,GRAND LARCENY,FELONY,F,122,STATEN ISLAND,N.Y. POLICE DEPT,957673,155298,"(40.5929016800001, -74.095696424)"
