OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
1087458,133b401f,08/14/2015 10:00:00 AM,Friday,Aug,14,2015,10,8,14,2015,GRAND LARCENY,FELONY,F,46,BRONX,N.Y. POLICE DEPT,1010679,249854,"(40.8524351550001, -73.904468059)"
1087459,d822c72,08/14/2015 10:00:00 AM,Friday,Aug,14,2015,10,8,14,2015,BURGLARY,FELONY,J,46,BRONX,N.Y. POLICE DEPT,1008176,249832,"(40.852381909, -73.9135157709999)"
1087460,d5fd58a8,08/14/2015 10:00:00 AM,Friday,Aug,14,2015,10,8,24,2015,GRAND LARCENY,FELONY,H,50,BRONX,N.Y. POLICE DEPT,1009702,262027,"(40.8858491830001, -73.907953401)"
1087475,6aaa7f7,08/16/2015 12:50:00 PM,Sunday,Aug,16,2015,12,8,16,2015,FELONY ASSAULT,FELONY,A,43,BRONX,N.Y. POLICE DEPT,1021756,236492,"(40.8157202510001, -73.864502585)"
1087486,b7696af7,04/10/2015 12:01:00 AM,Friday,Apr,10,2015,0,4,20,2015,GRAND LARCENY,FELONY,G,52,BRONX,N.Y. POLICE DEPT,1015037,255620,"(40.8682469610001, -73.8886886459999)"
1087490,43673e43,04/10/2015 12:50:00 AM,Friday,Apr,10,2015,0,4,10,2015,ROBBERY,FELONY,T,44,BRONX,N.Y. POLICE DEPT,1007588,245858,"(40.8414760260001, -73.915655054)"
1087494,8e5d6502,04/10/2015 01:00:00 AM,Friday,Apr,10,2015,1,4,10,2015,BURGLARY,FELONY,M,44,BRONX,N.Y. POLICE DEPT,1005466,244057,"(40.8365381580001, -73.9233299159999)"
1087495,f981bf84,04/10/2015 01:30:00 AM,Friday,Apr,10,2015,1,4,10,2015,ROBBERY,FELONY,H,43,BRONX,N.Y. POLICE DEPT,1017076,241640,"(40.829868672, -73.881384934)"
1087500,5e620efb,04/10/2015 03:00:00 AM,Friday,Apr,10,2015,3,4,10,2015,GRAND LARCENY,FELONY,H,44,BRONX,N.Y. POLICE DEPT,1007073,240678,"(40.8272597700001, -73.91753395)"
1087546,9e01d926,08/14/2015 10:28:00 AM,Friday,Aug,14,2015,10,8,14,2015,FELONY ASSAULT,FELONY,J,43,BRONX,N.Y. POLICE DEPT,1023367,245076,"(40.8392738690001, -73.858632449)"
1087564,27adf5df,08/16/2015 01:50:00 PM,Sunday,Aug,16,2015,13,8,16,2015,FELONY ASSAULT,FELONY,C,40,BRONX,N.Y. HOUSING POLICE,1009374,235406,"(40.812783376, -73.9092393729999)"
1087566,63b1d3da,08/16/2015 02:00:00 PM,Sunday,Aug,16,2015,14,8,16,2015,ROBBERY,FELONY,I,40,BRONX,N.Y. POLICE DEPT,1006075,236932,"(40.8169805840001, -73.921152255)"
1087576,557ab2e4,08/16/2015 03:10:00 PM,Sunday,Aug,16,2015,15,8,16,2015,FELONY ASSAULT,FELONY,Q,44,BRONX,N.Y. POLICE DEPT,1008123,244271,"(40.8371187430001, -73.913727148)"
1087577,e75a6ef4,08/16/2015 03:10:00 PM,Sunday,Aug,16,2015,15,8,16,2015,FELONY ASSAULT,FELONY,Q,44,BRONX,N.Y. POLICE DEPT,1008123,244271,"(40.8371187430001, -73.913727148)"
1087581,5ed1fa6a,08/16/2015 03:45:00 PM,Sunday,Aug,16,2015,15,8,16,2015,GRAND LARCENY,FELONY,C,40,BRONX,N.Y. POLICE DEPT,1009158,235645,"(40.8134399750001, -73.9100187989999)"
1087582,b71d74c2,08/16/2015 03:54:00 PM,Sunday,Aug,16,2015,15,8,17,2015,GRAND LARCENY,FELONY,I,43,BRONX,N.Y. POLICE DEPT,1020048,242979,"(40.8335322940001, -73.870638502)"
1087586,d533fffb,04/10/2015 04:45:00 AM,Friday,Apr,10,2015,4,4,10,2015,GRAND LARCENY,FELONY,N,52,BRONX,N.Y. TRANSIT POLICE,1017978,262492,"(40.8870977130001, -73.878020646)"
1087590,c45b785d,04/10/2015 05:00:00 AM,Friday,Apr,10,2015,5,4,17,2015,FELONY ASSAULT,FELONY,F,50,BRONX,N.Y. POLICE DEPT,1011038,260357,"(40.881261603, -73.903128392)"
